expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	117	8	22	N	L4	36.4	NA	NA	0	36.4	100	0	1	0	0	17	36.4	NA	NA	1.3472	34.6087	35.9559	-0.0028	0.0657	0.0628	80.14	NA
E4	119	8	22	S	L1	4.86	NA	81.29	0	86.15	6	0	5	0	1	83	0.97	NA	81.29	6.4325	36.0072	42.4398	0.0166	0.0853	0.1018	70.48	NA
E4	120	8	22	S	L2	4.09	NA	115.58	0	119.67	3	0	4	0	2	67	1.02	NA	57.79	1.2879	25.3606	26.6485	0.0009	0.0632	0.0642	64.63	NA
E4	121	8	22	S	L3	0.54	NA	115.21	0	115.75	0	0	2	0	4	33	0.27	NA	28.8	1.8074	28.5504	30.3578	-0.0003	0.0704	0.07	64.65	NA
E4	122	8	22	S	L4	0.33	NA	107.53	0	107.86	0	0	1	0	5	17	0.33	NA	21.51	1.3369	23.1775	24.5144	0.0005	0.0562	0.0567	52.42	NA
E4	124	8	22	P	L1	26.63	6.35	NA	0	32.98	81	0	5	1	0	83	5.33	6.35	NA	8.9663	37.1386	46.1049	0.0304	-0.0351	-0.0047	79.78	NA
E4	125	8	22	P	L2	19.95	16.4	NA	0	36.35	55	0	4	2	0	67	4.99	8.2	NA	3.315	28.234	31.549	0.0105	0.0642	0.0747	80.07	NA
E4	126	8	22	P	L3	17.94	43.37	NA	0.42	61.73	29	1	2	4	0	33	8.97	10.84	NA	4.6685	34.5693	39.2378	0.0155	0.0854	0.101	78.87	NA
E4	127	8	22	P	L4	0.32	35.29	NA	0	35.61	1	0	1	5	0	17	0.32	7.06	NA	5.8645	37.3518	43.2162	0.0175	0.0149	0.0324	83.04	NA
E4	130	9	27	N	L1	40.17	NA	NA	0	40.17	100	0	5	0	0	83	8.03	NA	NA	8.6173	69.3645	77.9818	0.0299	0.1726	0.2024	79.15	NA
E4	131	9	27	N	L2	27.89	NA	NA	0	27.89	100	0	4	0	0	67	6.97	NA	NA	1.4652	28.6616	30.1268	-0.0344	0.024	-0.0104	79.79	NA
E4	132	9	27	N	L3	10.86	NA	NA	0	10.86	100	0	2	0	0	33	5.43	NA	NA	12.0903	42.9569	55.0472	0.0417	0.0408	0.0824	78.6	NA
E4	133	9	27	N	L4	23.33	NA	NA	0	23.33	100	0	1	0	0	17	23.33	NA	NA	5.1134	21.8357	26.9492	0.0171	0.046	0.0631	75.68	NA
E4	135	9	27	S	L1	7.88	NA	77.02	0	84.9	9	0	5	0	1	83	1.58	NA	77.02	3.7386	20.2161	23.9547	0.0119	-0.0131	-0.0011	65.26	NA
E4	136	9	27	S	L2	0.61	NA	103.63	0	104.24	1	0	4	0	2	67	0.15	NA	51.82	0.9956	4.0331	5.0287	0.0033	-0.0506	-0.0473	63.84	NA
E4	137	9	27	S	L3	0.58	NA	110.74	0	111.32	1	0	2	0	4	33	0.29	NA	27.69	0.3758	5.2015	5.5773	-0.0012	-0.0085	-0.0097	65.45	NA
E4	138	9	27	S	L4	0.81	NA	118.06	0	118.87	1	0	1	0	5	17	0.81	NA	23.61	1.2827	5.843	7.1257	0.0018	0.0187	0.0205	64.49	NA
E4	140	9	27	P	L1	29.85	3.48	NA	1.08	34.41	87	3	5	1	0	83	5.97	3.48	NA	6.1156	16.7637	22.8793	0.0188	0.0153	0.0341	80	NA
E4	141	9	27	P	L2	12.86	26.45	NA	0	39.31	33	0	4	2	0	67	3.22	13.23	NA	7.7235	19.1342	26.8578	0.0267	-0.0886	-0.0619	80.29	NA
