expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	130	9	N	L1	40.17	NA	NA	0.00	40.17	100	0	0	0	8.6173	69.3645	77.9818	88.9496	0.0299	0.1726	0.2024	7/27/11	79.15	W
E4	131	9	N	L2	27.89	NA	NA	0.00	27.89	100	0	0	0	1.4652	28.6616	30.1268	95.1367	-0.0344	0.0240	-0.0104	7/27/11	79.79	NW
E4	132	9	N	L3	10.86	NA	NA	0.00	10.86	100	0	0	0	12.0903	42.9569	55.0472	78.0365	0.0417	0.0408	0.0824	7/27/11	78.60	W
E4	133	9	N	L4	23.33	NA	NA	0.00	23.33	100	0	0	0	5.1134	21.8357	26.9492	81.0256	0.0171	0.0460	0.0631	7/27/11	75.68	W
E4	134	9	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	9.4341	80.0850	89.5191	89.4613	0.0327	0.0784	0.1111	7/27/11	80.80	W
E4	135	9	S	L1	7.88	NA	77.02	0.00	84.90	9	0	91	0	3.7386	20.2161	23.9547	84.3929	0.0119	-0.0131	-0.0011	7/27/11	65.26	NW
E4	136	9	S	L2	0.61	NA	103.63	0.00	104.24	1	0	99	0	0.9956	4.0331	5.0287	80.2012	0.0033	-0.0506	-0.0473	7/27/11	63.84	NW
E4	137	9	S	L3	0.58	NA	110.74	0.00	111.32	1	0	99	0	0.3758	5.2015	5.5773	93.2622	-0.0012	-0.0085	-0.0097	7/27/11	65.45	NW
E4	138	9	S	L4	0.81	NA	118.06	0.00	118.87	1	0	99	0	1.2827	5.8430	7.1257	81.9985	0.0018	0.0187	0.0205	7/27/11	64.49	W
E4	139	9	S	L5	NA	NA	107.89	0.13	108.02	0	0	100	0	0.2013	4.1690	4.3703	95.3943	-0.0030	-0.0104	-0.0134	7/27/11	54.75	W
E4	140	9	P	L1	29.85	3.48	NA	1.08	34.41	87	10	0	3	6.1156	16.7637	22.8793	73.2703	0.0188	0.0153	0.0341	7/27/11	80.00	W
E4	141	9	P	L2	12.86	26.45	NA	0.00	39.31	33	67	0	0	7.7235	19.1342	26.8578	71.2428	0.0267	-0.0886	-0.0619	7/27/11	80.29	NW
E4	142	9	P	L3	4.20	37.24	NA	0.00	41.44	10	90	0	0	5.7951	10.1101	15.9052	63.5647	0.0197	-0.1626	-0.1429	7/27/11	79.40	NW
E4	143	9	P	L4	9.98	24.98	NA	0.00	34.96	29	71	0	0	9.2879	21.5010	30.7890	69.8336	0.0295	0.0025	0.0320	7/27/11	81.55	NW
E4	144	9	P	L5	NA	46.19	NA	3.38	49.57	0	93	0	7	8.3713	43.9048	52.2761	83.9864	0.0290	0.0687	0.0977	7/27/11	78.79	W
E4	145	10	N	L0	36.48	NA	NA	0.00	36.48	100	0	0	0	0.8383	0.0174	0.8557	2.0361	0.0023	-0.0572	-0.0548	7/27/11	77.22	NW
E4	146	10	N	L1	35.59	NA	NA	0.00	35.59	100	0	0	0	8.6812	14.3514	23.0326	62.3090	0.0301	-0.0145	0.0156	7/27/11	79.20	W
E4	147	10	N	L2	23.11	NA	NA	0.00	23.11	100	0	0	0	6.4563	18.5627	25.0190	74.1945	0.0215	0.0279	0.0494	7/27/11	78.39	W
E4	148	10	N	L3	25.84	NA	NA	0.08	25.92	100	0	0	0	1.5825	15.0440	16.6265	90.4821	0.0043	0.0199	0.0241	7/27/11	78.82	W
E4	149	10	N	L4	13.74	NA	NA	0.00	13.74	100	0	0	0	8.6091	20.4804	29.0895	70.4048	0.0298	-0.0050	0.0248	7/27/11	81.50	W
E4	150	10	N	L5	0.00	NA	NA	0.00	0.00	0	0	0	0	10.2052	85.6741	95.8793	89.3562	0.0320	-0.0220	0.0100	7/27/11	82.54	W
E4	151	10	S	L1	13.05	NA	63.14	0.00	76.19	17	0	83	0	3.7328	13.0639	16.7967	77.7768	0.0129	-0.0366	-0.0237	7/27/11	79.37	W
E4	152	10	S	L2	1.52	NA	68.56	0.00	70.08	2	0	98	0	4.1496	0.0163	4.1659	0.3908	0.0143	-0.0292	-0.0148	7/27/11	75.43	NW
E4	153	10	S	L3	0.35	NA	90.53	0.00	90.88	0	0	100	0	2.5906	12.1571	14.7477	82.4336	0.0087	0.0418	0.0505	7/27/11	72.86	NW
